SampleID,ChromatographyAndPhase,MassSpectrometer,HealthStatus
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS108_RB3_01_7433.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS109_RB4_01_7434.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS10_RA10_01_7316.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS110_RB5_01_7435.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS111_RB6_01_7436.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS112_RB7_01_7437.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS113_RB8_01_7438.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS114_RB9_01_7439.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS115_RB10_01_7440.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS116_RB11_01_7441.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS117_RB12_01_7442.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS118_RC1_01_7444.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS119_RC2_01_7445.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS11_RA11_01_7317.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS120_RC3_01_7446.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS121_RC4_01_7447.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS122_RC5_01_7448.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS123_RC6_01_7449.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS124_RC7_01_7450.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS125_RC8_01_7451.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS126_RC9_01_7452.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS127_RC10_01_7453.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS128_RC11_01_7454.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS129_RC12_01_7455.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS12_RA12_01_7318.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS130_RD1_01_7457.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS131_RD2_01_7458.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS132_RD3_01_7459.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS133_RD4_01_7460.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS134_RD5_01_7461.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS135_RD6_01_7462.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS136_RD7_01_7463.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS137_RD8_01_7464.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS138_RD9_01_7465.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS139_RD10_01_7466.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS13_RB1_01_7320.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS140_RD11_01_7467.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS141_RD12_01_7468.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS142_RE1_01_7470.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS143_RE2_01_7471.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS144_RE3_01_7472.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS145_RE4_01_7473.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS146_RE5_01_7474.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS147_RE6_01_7475.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS148_RE7_01_7476.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS149_RE8_01_7478.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS14_RB2_01_7322.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS150_RE9_01_7480.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS151_RE10_01_7482.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS152_RE11_01_7483.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS153_RE12_01_7484.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS154_RF1_01_7486.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS155_RF2_01_7487.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS156_RF3_01_7488.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS157_RF4_01_7489.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS158_RF5_01_7490.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS159_RF6_01_7491.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS15_RB3_01_7323.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS160_RF7_01_7492.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS161_RF8_01_7493.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS162_RF9_01_7494.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS163_RF10_01_7495.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS164_RF11_01_7496.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS165_RF12_01_7498.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS166_RG1_01_7499.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS167_RG2_01_7500.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS168_RG3_01_7501.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS169_RG4_01_7502.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS16_RB4_01_7324.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS170_RG5_01_7503.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS171_RG6_01_7504.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS172_RG7_01_7505.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS173_RG8_01_7506.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS174_RG9_01_7507.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS175_RG10_01_7508.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS176_RG11_01_7509.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS177_RG12_01_7510.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS178_RH1_01_7511.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS179_RH2_01_7512.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS17_RB5_01_7325.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS180_RH3_01_7514.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS181_RH4_01_7516.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS182_RH5_01_7518.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS183_RH6_01_7520.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS184_RH7_01_7521.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS185_RH8_01_7522.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS186_RH9_01_7523.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS187_RA1_01_7529.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS188_RA2_01_7530.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS189_RA3_01_7531.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS190_RA4_01_7532.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS191_RA5_01_7533.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS192_RA6_01_7534.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS193_RA7_01_7535.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS194_RA8_01_7536.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS195_RA9_01_7537.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS196_RA10_01_7538.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS197_RA11_01_7539.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS198_RA12_01_7540.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS199_RB1_01_7542.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS19_RB7_01_7327.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS1_RA1_01_7303.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS200_RB2_01_7543.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS201_RB3_01_7544.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS202_RB4_01_7545.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS203_RB5_01_7546.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS204_RB6_01_7547.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS205_RB7_01_7548.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS206_RB8_01_7549.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS207_RB9_01_7550.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS208_RB10_01_7551.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS209_RB11_01_7552.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS20_RB8_01_7328.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS210_RB12_01_7553.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS211_RC1_01_7555.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS212_RC2_01_7556.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS213_RC3_01_7557.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS214_RC4_01_7558.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS215_RC5_01_7559.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS216_RC6_01_7560.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS217_RC7_01_7561.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS218_RC8_01_7562.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS219_RC9_01_7563.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS21_RB9_01_7329.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS220_RC10_01_7564.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS221_RC11_01_7565.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS222_RC12_01_7566.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS223_RD1_01_7568.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS224_RD2_01_7569.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS225_RD3_01_7570.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS226_RD4_01_7571.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS227_RD5_01_7572.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS228_RD6_01_7573.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS229_RD7_01_7574.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS22_RB10_01_7330.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS230_RD8_01_7575.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS231_RD9_01_7576.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS232_RD10_01_7577.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS233_RD11_01_7578.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS234_RD12_01_7579.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS235_RE1_01_7581.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS236_RE2_01_7582.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS237_RE3_01_7583.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS238_RE4_01_7584.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS239_RE5_01_7585.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS23_RB11_01_7331.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS240_RE6_01_7586.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS241_RE7_01_7587.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS242_RE8_01_7588.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS243_RE9_01_7589.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS244_RE10_01_7590.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS245_RE11_01_7591.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS246_RE12_01_7592.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS247_RF1_01_7594.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS248_RF2_01_7595.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS249_RF3_01_7596.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS24_RB12_01_7332.mzML,reverse phase (C18),impact Series,unhealthy
MSV000080918/ccms_peak/Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells/SS250_RF4_01_7597.mzML,reverse phase (C18),impact Series,unhealthy
